releaseVersion|order
0.16.0|{}
0.17.0|{}
0.18.0|{}
0.19.0|{}
0.20.0|{}
0.21.0|{}
0.22.0|{}
0.23.0|{}
0.24.0|{}
0.25.0|{}
0.26.0|{}
0.27.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.28.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.29.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.30.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.31.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.32.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.33.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.34.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.35.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.36.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.37.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.38.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.39.0|{construction-work-editor,waste-guide,open-waste-container,construction-work,report-problem,contact,redirects,about,welcome}
0.40.0|{construction-work-editor,waste-guide,construction-work,report-problem,contact,redirects,about,welcome}
0.41.0|{construction-work-editor,waste-guide,construction-work,report-problem,contact,redirects,city-pass,about,welcome}
0.40.1|{construction-work-editor,waste-guide,construction-work,report-problem,contact,redirects,about,welcome}
0.42.0|{construction-work-editor,waste-guide,construction-work,report-problem,contact,redirects,city-pass,about,welcome}
